strategy,symbol,risk_pct,trades,annual_return_pct,max_dd_pct,winrate_pct,profit_factor,sharpe,years,final_balance,long_pct,short_pct,trades_per_month,best_month,best_month_pnl,worst_month,worst_month_pnl
momentum_breakout,SNXUSDT,0.25,40,0.63,3.36,32.5,1.1199,0.151,1.3,100820.29,57.5,42.5,2.57,2026-02,1658.67,2025-02,-1525.22
momentum_breakout,SNXUSDT,0.5,40,1.22,6.62,32.5,1.1174,0.15,1.3,101581.81,57.5,42.5,2.57,2026-02,3305.71,2025-02,-3041.58
momentum_breakout,SNXUSDT,0.75,40,1.76,9.8,32.5,1.1147,0.15,1.3,102283.61,57.5,42.5,2.57,2026-02,4938.41,2025-02,-4548.94
momentum_breakout,SNXUSDT,1.0,40,2.25,12.88,32.5,1.1119,0.149,1.3,102924.83,57.5,42.5,2.57,2026-02,6554.16,2025-02,-6047.15
ema_crossover,SNXUSDT,0.25,83,-0.07,3.56,31.33,0.9916,0.015,1.3,99915.68,50.6,49.4,5.33,2026-01,1336.26,2026-04,-619.8
ema_crossover,SNXUSDT,0.5,83,-0.21,7.02,31.33,0.9865,0.014,1.3,99732.23,50.6,49.4,5.33,2026-01,2629.21,2026-04,-1242.76
ema_crossover,SNXUSDT,0.75,83,-0.42,10.39,31.33,0.9813,0.013,1.3,99451.68,50.6,49.4,5.33,2026-01,3877.31,2026-04,-1867.09
ema_crossover,SNXUSDT,1.0,83,-0.71,13.66,31.33,0.9762,0.012,1.3,99076.29,50.6,49.4,5.33,2026-01,5079.21,2026-04,-2491.02
bb_mean_reversion,SNXUSDT,0.25,1342,-62.58,73.6,28.69,0.6848,-3.536,1.3,27943.35,53.1,46.9,86.21,2025-02,12248.2,2025-07,-11530.72
bb_mean_reversion,SNXUSDT,0.5,1342,-83.65,90.45,28.69,0.6993,-4.049,1.3,9546.42,53.1,46.9,86.21,2025-02,7540.74,2025-01,-17910.07
bb_mean_reversion,SNXUSDT,0.75,1342,-92.35,96.44,28.69,0.7049,-4.102,1.3,3561.48,53.1,46.9,86.21,2025-02,3546.05,2025-01,-24083.19
bb_mean_reversion,SNXUSDT,1.0,1342,-96.29,98.61,28.69,0.7091,-4.116,1.3,1393.34,53.1,46.9,86.21,2025-10,1012.89,2025-01,-29179.97
volatility_breakout,SNXUSDT,0.25,143,0.11,4.19,31.47,1.0054,0.047,1.3,100142.78,47.6,52.4,9.19,2026-01,2674.39,2025-07,-2139.92
volatility_breakout,SNXUSDT,0.5,143,0.04,8.25,31.47,1.001,0.047,1.3,100052.35,47.6,52.4,9.19,2026-01,5252.32,2025-07,-4258.95
volatility_breakout,SNXUSDT,0.75,143,-0.21,12.16,31.47,0.9965,0.047,1.3,99730.82,47.6,52.4,9.19,2026-01,7722.77,2025-07,-6351.62
volatility_breakout,SNXUSDT,1.0,143,-0.63,15.94,31.47,0.992,0.047,1.3,99181.84,47.6,52.4,9.19,2026-01,10075.79,2025-07,-8412.68
regime_switch_hybrid,SOLUSDT,0.25,106,9.93,4.44,40.57,1.644,2.07,1.3,113071.35,45.3,54.7,6.81,2025-05,3510.61,2025-08,-2067.9
regime_switch_hybrid,SOLUSDT,0.5,106,20.59,8.72,40.57,1.6257,2.069,1.3,127489.79,45.3,54.7,6.81,2025-05,7489.54,2025-08,-4473.31
regime_switch_hybrid,SOLUSDT,0.75,106,31.99,12.83,40.57,1.6081,2.069,1.3,143344.67,45.3,54.7,6.81,2025-05,11974.95,2025-08,-7247.9
regime_switch_hybrid,SOLUSDT,1.0,106,44.17,16.77,40.57,1.5914,2.069,1.3,160725.1,45.3,54.7,6.81,2025-05,17007.07,2025-08,-10424.91
momentum_breakout,SOLUSDT,0.25,48,0.62,2.19,33.33,1.0969,0.262,1.3,100807.52,56.2,43.8,3.08,2025-01,1043.32,2025-02,-772.96
momentum_breakout,SOLUSDT,0.5,48,1.19,4.37,33.33,1.0926,0.262,1.3,101543.48,56.2,43.8,3.08,2025-01,2084.15,2025-02,-1557.85
momentum_breakout,SOLUSDT,0.75,48,1.7,6.51,33.33,1.0882,0.261,1.3,102206.79,56.2,43.8,3.08,2025-01,3122.33,2025-02,-2354.5
momentum_breakout,SOLUSDT,1.0,48,2.15,8.64,33.33,1.0838,0.261,1.3,102796.51,56.2,43.8,3.08,2025-01,4157.69,2025-02,-3162.73
ema_crossover,SOLUSDT,0.25,105,3.59,3.02,40.0,1.4227,1.127,1.3,104686.59,50.5,49.5,6.74,2025-10,1859.09,2026-03,-1532.36
