pairs,n_pairs,annual_return_pct,max_dd_pct,profit_factor,sharpe,winrate_pct,trades,signals_skipped,avg_corr,final_balance,long_pct,short_pct,best_month,best_month_pnl,worst_month,worst_month_pnl
ETHUSDT+XLMUSDT+ZECUSDT+1000PEPEUSDT,4,178.64,10.16,1.6872,3.651,42.4,816,77,0.4564,2117967.82,45.3,54.7,2026-02,245233.67,2025-04,-18899.45
ETHUSDT+XLMUSDT+ZECUSDT+SUIUSDT,4,164.48,14.19,1.6743,3.538,41.59,832,81,0.4533,1800634.54,44.7,55.3,2025-08,199013.54,2025-07,-13889.88
ETHUSDT+XLMUSDT+ZECUSDT+ADAUSDT,4,159.14,14.1,1.628,3.444,41.65,826,91,0.5103,1697899.21,43.5,56.5,2025-12,271590.36,2025-04,-31066.86
ETHUSDT+XLMUSDT+DOGEUSDT+1000PEPEUSDT,4,158.97,13.37,1.785,3.405,42.41,790,91,0.5937,1702919.86,43.9,56.1,2026-01,176047.3,2026-05,-14846.14
ETHUSDT+XLMUSDT+DOGEUSDT+SUIUSDT,4,152.45,14.44,1.7729,3.409,41.78,809,92,0.5655,1567985.55,44.1,55.9,2026-04,243045.53,2026-05,-76523.95
ETHUSDT+XLMUSDT+DOGEUSDT+ADAUSDT,4,136.5,11.9,1.6812,3.129,41.35,798,107,0.6364,1293796.28,42.4,57.6,2026-01,182055.81,2026-05,-82390.31
ETHUSDT+XLMUSDT+1000PEPEUSDT+SUIUSDT,4,148.11,17.58,1.7233,3.261,41.0,817,83,0.5201,1498833.51,43.7,56.3,2026-04,186951.02,2024-10,-24965.23
ETHUSDT+XLMUSDT+1000PEPEUSDT+ADAUSDT,4,148.73,12.34,1.6807,3.197,41.33,813,91,0.5805,1510140.05,42.7,57.3,2026-01,180399.89,2025-04,-31056.11
ETHUSDT+XLMUSDT+SUIUSDT+ADAUSDT,4,145.8,14.87,1.678,3.298,41.1,820,104,0.5776,1450955.95,42.2,57.8,2026-01,168554.54,2026-05,-69757.17
ETHUSDT+ZECUSDT+DOGEUSDT+1000PEPEUSDT,4,166.76,14.86,1.6363,3.656,41.96,784,76,0.5538,1860283.19,45.3,54.7,2026-02,179717.54,2023-11,-167.37
ETHUSDT+ZECUSDT+DOGEUSDT+SUIUSDT,4,158.15,12.42,1.6409,3.585,41.38,800,80,0.527,1673598.62,45.4,54.6,2026-01,198917.93,2026-05,-15064.55
ETHUSDT+ZECUSDT+DOGEUSDT+ADAUSDT,4,166.13,11.55,1.6533,3.585,41.99,793,91,0.5683,1835539.71,43.3,56.7,2025-12,264676.2,2026-05,-22563.44
ETHUSDT+ZECUSDT+1000PEPEUSDT+SUIUSDT,4,156.64,14.47,1.6243,3.548,40.72,808,71,0.4927,1657785.4,45.5,54.5,2026-02,166542.25,2025-04,-15229.32
