pairs,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,is_trades,passes
BCH+SNX+WLD,128.8,10.92,1.93,4.16,328,74.1,12.26,1.54,354,no
BCH+SNX+XRP,127.8,8.32,1.91,4.03,317,73.0,12.57,1.58,334,no
BCH+TON+VET,109.3,7.39,1.78,3.59,348,71.7,9.48,1.65,317,no
BCH+TON+WLD,126.2,14.5,1.90,4.18,332,59.9,8.73,1.55,305,no
BCH+TON+XRP,124.9,11.07,1.88,3.91,321,59.6,8.84,1.60,285,no
BCH+VET+WLD,98.1,8.83,1.70,3.35,355,58.6,10.69,1.50,337,no
BCH+VET+XRP,97.4,8.93,1.68,3.36,344,58.1,11.36,1.55,317,no
BCH+WLD+XRP,113.5,12.29,1.80,3.95,328,47.5,12.52,1.46,305,no
BNB+BTC+DOGE,79.8,10.97,1.46,2.7,343,26.0,16.47,1.25,304,no
BNB+BTC+ENS,104.1,12.47,1.53,3.03,365,29.8,20.22,1.27,320,no
BNB+BTC+ETH,89.5,12.2,1.57,2.89,324,26.4,16.75,1.26,292,no
BNB+BTC+HBAR,54.3,15.45,1.34,2.16,330,31.8,19.98,1.27,341,no
BNB+BTC+LTC,91.5,11.45,1.52,2.85,350,25.8,20.05,1.23,325,no
BNB+BTC+SNX,91.3,10.24,1.55,3.11,334,40.6,22.09,1.31,341,no
BNB+BTC+TON,89.6,9.12,1.54,3.05,338,29.5,14.92,1.29,292,no
BNB+BTC+VET,65.8,9.98,1.40,2.39,361,28.3,24.05,1.26,324,no
BNB+BTC+WLD,79.4,9.17,1.48,2.98,345,19.5,23.96,1.19,312,no
BNB+BTC+XRP,78.5,11.67,1.47,2.72,334,19.4,20.23,1.20,292,no
BNB+DOGE+ENS,144.6,14.04,1.71,3.5,380,47.0,11.46,1.40,321,no
BNB+DOGE+ETH,127.4,10.57,1.78,3.49,339,43.2,12.88,1.41,293,no
BNB+DOGE+HBAR,84.8,15.59,1.51,2.84,345,49.3,10.65,1.39,342,no
BNB+DOGE+LTC,128.1,10.97,1.70,3.48,365,42.7,14.41,1.35,326,no
BNB+DOGE+SNX,128.2,10.56,1.75,3.57,349,59.5,11.11,1.44,342,no
BNB+DOGE+TON,126.3,8.25,1.74,3.74,353,46.9,11.15,1.43,293,no
BNB+DOGE+VET,98.2,11.6,1.57,2.96,376,45.5,11.62,1.39,325,no
BNB+DOGE+WLD,113.8,11.01,1.67,3.56,360,35.5,14.12,1.32,313,no
BNB+DOGE+XRP,113.3,11.6,1.65,3.24,349,35.4,11.82,1.34,293,no
BNB+ENS+ETH,158.2,17.63,1.85,3.89,361,47.4,11.75,1.43,309,no
BNB+ENS+HBAR,110.0,14.91,1.58,3.14,367,53.6,13.45,1.40,358,no
BNB+ENS+LTC,159.5,15.81,1.77,3.93,387,46.7,16.17,1.36,342,no
BNB+ENS+SNX,159.8,12.59,1.82,3.88,371,64.1,14.94,1.44,358,no
BNB+ENS+TON,157.4,13.55,1.81,4.2,375,51.0,14.48,1.44,309,no
BNB+ENS+VET,125.4,14.49,1.65,3.22,398,49.5,19.42,1.40,341,no
BNB+ENS+WLD,142.9,14.77,1.74,3.81,382,39.3,18.67,1.33,329,no
BNB+ENS+XRP,143.0,17.53,1.72,3.63,371,39.3,15.01,1.35,309,no
BNB+ETH+HBAR,95.0,12.85,1.63,3.17,326,49.6,14.08,1.41,330,no
BNB+ETH+LTC,140.6,15.57,1.86,3.75,346,42.8,14.52,1.37,314,no
BNB+ETH+SNX,141.1,9.63,1.92,3.88,330,60.0,11.46,1.46,330,no
BNB+ETH+TON,138.9,10.71,1.90,4.13,334,47.2,9.11,1.46,281,no
