pairs,oos_annual,oos_dd,oos_pf,oos_trades,is_annual,is_dd,is_pf,is_trades
ENSUSDT+XRPUSDT+ADAUSDT,168.68,20.87,1.708,367,74.7,15.61,1.464,333
ENSUSDT+XRPUSDT+1000PEPEUSDT,165.39,16.31,1.7,364,66.59,23.76,1.465,312
ENSUSDT+XRPUSDT+WLDUSDT,188.0,19.66,1.78,372,44.84,22.43,1.319,315
ENSUSDT+XRPUSDT+TONUSDT,207.06,18.03,1.848,365,59.02,15.5,1.433,295
ENSUSDT+XLMUSDT+HBARUSDT,162.32,13.7,1.657,371,72.72,14.5,1.429,384
ENSUSDT+XLMUSDT+ETHUSDT,233.23,16.88,1.95,365,64.69,14.4,1.457,335
ENSUSDT+XLMUSDT+DOGEUSDT,212.95,13.2,1.783,384,64.36,13.57,1.432,347
ENSUSDT+XLMUSDT+BTCUSDT,152.35,10.59,1.598,369,41.98,18.23,1.302,346
ENSUSDT+XLMUSDT+BCHUSDT,202.49,14.84,1.893,362,83.69,15.08,1.587,353
ENSUSDT+XLMUSDT+ADAUSDT,188.62,16.7,1.754,381,86.67,16.03,1.499,373
ENSUSDT+XLMUSDT+1000PEPEUSDT,185.64,11.52,1.744,378,77.96,17.27,1.499,352
ENSUSDT+XLMUSDT+WLDUSDT,209.39,14.31,1.829,386,54.34,17.55,1.358,355
ENSUSDT+XLMUSDT+TONUSDT,230.62,12.1,1.899,379,69.73,12.23,1.471,335
ENSUSDT+HBARUSDT+ETHUSDT,161.38,18.31,1.747,347,72.88,15.03,1.455,344
ENSUSDT+HBARUSDT+DOGEUSDT,145.62,15.74,1.604,366,72.42,14.35,1.433,356
ENSUSDT+HBARUSDT+BTCUSDT,98.05,13.23,1.428,351,49.11,25.23,1.313,355
ENSUSDT+HBARUSDT+BCHUSDT,137.19,15.92,1.679,344,93.03,11.49,1.58,362
ENSUSDT+HBARUSDT+ADAUSDT,126.73,17.88,1.568,363,95.55,18.48,1.484,382
ENSUSDT+HBARUSDT+1000PEPEUSDT,124.47,13.05,1.557,360,86.76,20.15,1.49,361
ENSUSDT+HBARUSDT+WLDUSDT,142.42,16.2,1.627,368,61.86,19.3,1.361,364
ENSUSDT+HBARUSDT+TONUSDT,159.09,14.51,1.698,361,77.92,17.97,1.462,344
ENSUSDT+ETHUSDT+DOGEUSDT,212.09,15.82,1.886,360,64.62,15.51,1.466,307
ENSUSDT+ETHUSDT+BTCUSDT,151.27,15.23,1.672,345,42.29,20.96,1.324,306
ENSUSDT+ETHUSDT+BCHUSDT,201.74,19.52,2.011,338,84.16,12.75,1.636,313
ENSUSDT+ETHUSDT+ADAUSDT,188.1,20.27,1.85,357,86.91,13.74,1.529,333
ENSUSDT+ETHUSDT+1000PEPEUSDT,184.86,16.34,1.843,354,78.23,19.38,1.537,312
ENSUSDT+ETHUSDT+WLDUSDT,208.51,17.93,1.936,362,54.63,18.97,1.382,315
ENSUSDT+ETHUSDT+TONUSDT,230.04,16.96,2.016,355,69.93,10.9,1.503,295
ENSUSDT+DOGEUSDT+BTCUSDT,136.57,13.73,1.545,364,41.8,18.68,1.307,318
ENSUSDT+DOGEUSDT+BCHUSDT,183.68,16.46,1.828,357,83.71,12.21,1.601,325
ENSUSDT+DOGEUSDT+ADAUSDT,170.66,17.89,1.697,376,86.31,12.46,1.504,345
ENSUSDT+DOGEUSDT+1000PEPEUSDT,166.99,13.48,1.685,373,77.72,16.26,1.509,324
ENSUSDT+DOGEUSDT+WLDUSDT,189.9,17.6,1.768,381,54.25,17.68,1.363,327
ENSUSDT+DOGEUSDT+TONUSDT,210.03,13.91,1.838,374,69.56,15.02,1.478,307
ENSUSDT+BTCUSDT+BCHUSDT,130.01,15.64,1.612,342,58.56,17.79,1.449,324
ENSUSDT+BTCUSDT+ADAUSDT,118.94,17.06,1.513,361,61.14,20.8,1.381,344
ENSUSDT+BTCUSDT+1000PEPEUSDT,117.53,12.24,1.501,358,53.45,28.55,1.373,323
ENSUSDT+BTCUSDT+WLDUSDT,135.68,15.23,1.57,366,33.26,27.82,1.24,326
ENSUSDT+BTCUSDT+TONUSDT,151.55,12.32,1.636,359,46.42,19.92,1.341,306
ENSUSDT+BCHUSDT+ADAUSDT,162.15,19.95,1.788,354,108.25,16.31,1.661,351
ENSUSDT+BCHUSDT+1000PEPEUSDT,160.32,15.29,1.779,351,98.64,17.45,1.676,330
ENSUSDT+BCHUSDT+WLDUSDT,182.16,18.32,1.866,359,72.49,15.23,1.508,333
ENSUSDT+BCHUSDT+TONUSDT,201.21,16.16,1.949,352,89.48,11.49,1.647,313
ENSUSDT+ADAUSDT+1000PEPEUSDT,147.72,17.07,1.654,370,101.76,17.09,1.561,350
ENSUSDT+ADAUSDT+WLDUSDT,168.72,19.57,1.732,378,75.33,16.63,1.427,353
ENSUSDT+ADAUSDT+TONUSDT,186.76,18.09,1.803,371,92.45,16.1,1.536,333
ENSUSDT+1000PEPEUSDT+WLDUSDT,166.45,15.06,1.721,375,66.68,25.85,1.425,332
ENSUSDT+1000PEPEUSDT+TONUSDT,185.27,12.17,1.797,368,83.16,20.51,1.542,312
ENSUSDT+WLDUSDT+TONUSDT,208.92,15.19,1.877,376,59.01,19.67,1.393,315
DOTUSDT+AVAXUSDT+ARBUSDT,126.54,10.68,1.673,337,100.66,11.0,1.603,347
DOTUSDT+AVAXUSDT+XRPUSDT,115.22,12.15,1.582,336,75.06,15.8,1.515,329
DOTUSDT+AVAXUSDT+XLMUSDT,131.59,11.79,1.626,350,86.46,15.99,1.548,369
DOTUSDT+AVAXUSDT+HBARUSDT,82.08,17.29,1.431,332,95.61,14.2,1.532,378
DOTUSDT+AVAXUSDT+ETHUSDT,130.56,11.04,1.718,326,87.1,15.73,1.583,329
DOTUSDT+AVAXUSDT+DOGEUSDT,116.53,11.94,1.57,345,86.43,14.57,1.555,341
DOTUSDT+AVAXUSDT+BTCUSDT,75.96,10.17,1.388,330,61.08,21.92,1.417,340
DOTUSDT+AVAXUSDT+BCHUSDT,110.37,12.84,1.643,323,108.62,15.06,1.727,347
DOTUSDT+AVAXUSDT+ADAUSDT,100.32,12.94,1.529,342,110.96,10.06,1.603,367
DOTUSDT+AVAXUSDT+1000PEPEUSDT,98.37,11.23,1.518,339,101.68,15.61,1.616,346
DOTUSDT+AVAXUSDT+WLDUSDT,114.67,13.05,1.595,347,74.99,15.74,1.469,349
DOTUSDT+AVAXUSDT+TONUSDT,129.54,9.2,1.673,340,92.33,11.83,1.59,329
DOTUSDT+ARBUSDT+XRPUSDT,170.99,10.58,1.799,342,77.32,15.75,1.528,312
DOTUSDT+ARBUSDT+XLMUSDT,191.84,10.33,1.845,356,89.44,14.66,1.56,352
DOTUSDT+ARBUSDT+HBARUSDT,128.54,13.5,1.638,338,98.65,11.57,1.542,361
DOTUSDT+ARBUSDT+ETHUSDT,190.42,8.49,1.966,332,89.84,12.59,1.598,312
DOTUSDT+ARBUSDT+DOGEUSDT,172.8,11.32,1.785,351,89.51,13.88,1.569,324
DOTUSDT+ARBUSDT+BTCUSDT,121.29,10.98,1.578,336,63.24,19.11,1.43,323
DOTUSDT+ARBUSDT+BCHUSDT,164.62,11.54,1.892,329,111.69,13.9,1.744,330
DOTUSDT+ARBUSDT+ADAUSDT,152.41,10.99,1.748,348,114.26,15.32,1.613,350
DOTUSDT+ARBUSDT+1000PEPEUSDT,149.63,9.37,1.734,345,104.58,19.01,1.63,329
DOTUSDT+ARBUSDT+WLDUSDT,170.11,9.84,1.826,353,77.65,18.63,1.48,332
DOTUSDT+ARBUSDT+TONUSDT,188.75,8.4,1.909,346,95.23,11.79,1.603,312
DOTUSDT+XRPUSDT+XLMUSDT,176.87,10.43,1.744,355,64.88,19.14,1.464,334
DOTUSDT+XRPUSDT+HBARUSDT,117.4,16.43,1.553,337,73.12,11.96,1.461,343
DOTUSDT+XRPUSDT+ETHUSDT,176.63,12.31,1.85,331,65.29,14.95,1.502,294
DOTUSDT+XRPUSDT+DOGEUSDT,159.74,10.25,1.689,350,64.84,13.94,1.474,306
DOTUSDT+XRPUSDT+BTCUSDT,110.85,13.36,1.503,335,42.11,21.08,1.327,305
DOTUSDT+XRPUSDT+BCHUSDT,151.63,14.71,1.78,328,84.23,17.24,1.646,312
DOTUSDT+XRPUSDT+ADAUSDT,140.25,15.92,1.652,347,86.46,14.43,1.536,332
DOTUSDT+XRPUSDT+1000PEPEUSDT,137.66,11.13,1.643,344,78.27,18.77,1.543,311
DOTUSDT+XRPUSDT+WLDUSDT,157.55,14.92,1.724,352,55.01,20.22,1.391,314
DOTUSDT+XRPUSDT+TONUSDT,174.29,11.59,1.797,345,70.11,11.59,1.514,294
DOTUSDT+XLMUSDT+HBARUSDT,134.02,13.35,1.596,351,84.67,14.21,1.495,383
DOTUSDT+XLMUSDT+ETHUSDT,197.29,9.36,1.898,345,76.39,17.04,1.536,334
DOTUSDT+XLMUSDT+DOGEUSDT,179.32,10.34,1.73,364,76.07,16.92,1.507,346
DOTUSDT+XLMUSDT+BTCUSDT,126.13,9.13,1.544,349,51.89,21.79,1.371,345
DOTUSDT+XLMUSDT+BCHUSDT,170.44,10.77,1.832,342,96.48,17.0,1.673,352
DOTUSDT+XLMUSDT+ADAUSDT,157.72,10.83,1.697,361,99.29,14.98,1.567,372
DOTUSDT+XLMUSDT+1000PEPEUSDT,155.45,10.76,1.686,358,90.32,15.17,1.573,351
DOTUSDT+XLMUSDT+WLDUSDT,176.29,14.11,1.771,366,65.33,16.13,1.427,354
DOTUSDT+XLMUSDT+TONUSDT,194.93,8.97,1.846,359,81.82,14.84,1.548,334
DOTUSDT+HBARUSDT+ETHUSDT,133.32,10.45,1.685,327,84.97,13.44,1.523,343
DOTUSDT+HBARUSDT+DOGEUSDT,119.34,13.79,1.544,346,84.49,9.17,1.499,355
DOTUSDT+HBARUSDT+BTCUSDT,77.57,14.53,1.371,331,59.35,17.12,1.374,354
DOTUSDT+HBARUSDT+BCHUSDT,112.17,12.49,1.611,324,106.27,9.71,1.654,361
DOTUSDT+HBARUSDT+ADAUSDT,102.57,13.5,1.505,343,108.57,13.88,1.543,381
DOTUSDT+HBARUSDT+1000PEPEUSDT,100.84,15.46,1.494,340,99.42,13.73,1.554,360
DOTUSDT+HBARUSDT+WLDUSDT,116.6,14.14,1.564,348,73.18,11.88,1.421,363
DOTUSDT+HBARUSDT+TONUSDT,131.23,13.06,1.637,341,90.38,13.98,1.529,343
DOTUSDT+ETHUSDT+DOGEUSDT,178.61,8.97,1.835,340,76.2,14.45,1.545,306
DOTUSDT+ETHUSDT+BTCUSDT,125.23,11.14,1.617,325,52.08,22.47,1.396,305
DOTUSDT+ETHUSDT+BCHUSDT,169.82,12.33,1.953,318,97.28,13.49,1.727,312
DOTUSDT+ETHUSDT+ADAUSDT,157.33,13.66,1.793,337,99.53,12.02,1.601,332
DOTUSDT+ETHUSDT+1000PEPEUSDT,154.81,7.26,1.786,334,90.9,16.34,1.614,311
DOTUSDT+ETHUSDT+WLDUSDT,175.57,14.14,1.881,342,65.54,17.26,1.454,314
DOTUSDT+ETHUSDT+TONUSDT,194.48,11.55,1.967,335,81.87,11.93,1.584,294
DOTUSDT+DOGEUSDT+BTCUSDT,112.15,11.04,1.492,344,51.58,18.54,1.377,317
DOTUSDT+DOGEUSDT+BCHUSDT,153.8,7.83,1.768,337,96.85,17.8,1.687,324
DOTUSDT+DOGEUSDT+ADAUSDT,141.86,10.03,1.64,356,98.93,10.92,1.572,344
DOTUSDT+DOGEUSDT+1000PEPEUSDT,138.92,10.79,1.628,353,90.39,16.06,1.584,323
DOTUSDT+DOGEUSDT+WLDUSDT,159.05,12.89,1.712,361,65.16,15.64,1.432,326
DOTUSDT+DOGEUSDT+TONUSDT,176.75,8.08,1.786,354,81.5,16.47,1.556,306
DOTUSDT+BTCUSDT+BCHUSDT,106.45,13.69,1.551,322,69.5,19.95,1.528,323
DOTUSDT+BTCUSDT+ADAUSDT,96.39,14.66,1.457,341,71.8,16.62,1.444,343
DOTUSDT+BTCUSDT+1000PEPEUSDT,95.32,8.99,1.445,338,63.99,24.15,1.44,322
DOTUSDT+BTCUSDT+WLDUSDT,111.3,10.13,1.514,346,42.49,20.44,1.304,325
DOTUSDT+BTCUSDT+TONUSDT,125.28,10.16,1.582,339,56.5,16.0,1.411,305
DOTUSDT+BCHUSDT+ADAUSDT,134.59,14.86,1.723,334,122.29,15.02,1.739,350
DOTUSDT+BCHUSDT+1000PEPEUSDT,133.2,10.65,1.713,331,112.53,16.06,1.762,329
DOTUSDT+BCHUSDT+WLDUSDT,152.34,14.97,1.802,339,84.8,15.27,1.586,332
DOTUSDT+BCHUSDT+TONUSDT,169.08,11.03,1.89,332,103.04,15.79,1.735,312
DOTUSDT+ADAUSDT+1000PEPEUSDT,121.75,10.5,1.593,350,115.34,14.78,1.628,349
DOTUSDT+ADAUSDT+WLDUSDT,140.21,14.73,1.671,358,87.21,15.39,1.489,352
DOTUSDT+ADAUSDT+TONUSDT,156.06,11.86,1.746,351,105.47,12.13,1.605,332
DOTUSDT+1000PEPEUSDT+WLDUSDT,138.39,9.24,1.66,355,78.54,20.88,1.492,331
DOTUSDT+1000PEPEUSDT+TONUSDT,154.93,7.7,1.739,348,96.23,14.35,1.617,311
DOTUSDT+WLDUSDT+TONUSDT,175.63,17.49,1.821,356,70.24,14.04,1.463,314
AVAXUSDT+ARBUSDT+XRPUSDT,115.48,9.36,1.664,326,70.35,13.01,1.489,320
AVAXUSDT+ARBUSDT+XLMUSDT,132.06,13.59,1.716,340,81.58,10.7,1.524,360
AVAXUSDT+ARBUSDT+HBARUSDT,82.03,15.78,1.499,322,90.86,12.2,1.512,369
AVAXUSDT+ARBUSDT+ETHUSDT,131.46,12.15,1.818,316,82.06,14.29,1.559,320
AVAXUSDT+ARBUSDT+DOGEUSDT,117.22,12.55,1.653,335,81.52,12.74,1.531,332
AVAXUSDT+ARBUSDT+BTCUSDT,76.41,10.31,1.446,320,56.88,21.48,1.395,331
AVAXUSDT+ARBUSDT+BCHUSDT,110.85,12.01,1.735,313,103.29,9.22,1.703,338
AVAXUSDT+ARBUSDT+ADAUSDT,101.07,11.43,1.606,332,105.83,14.27,1.582,358
AVAXUSDT+ARBUSDT+1000PEPEUSDT,98.83,11.16,1.594,329,96.49,17.35,1.596,337
AVAXUSDT+ARBUSDT+WLDUSDT,115.69,13.54,1.685,337,70.24,16.8,1.447,340
AVAXUSDT+ARBUSDT+TONUSDT,130.67,8.51,1.769,330,86.99,12.31,1.568,320
AVAXUSDT+XRPUSDT+XLMUSDT,120.13,11.48,1.62,339,58.29,10.56,1.426,342
AVAXUSDT+XRPUSDT+HBARUSDT,73.06,16.17,1.421,321,66.47,14.39,1.428,351
AVAXUSDT+XRPUSDT+ETHUSDT,120.33,15.27,1.71,315,59.07,14.31,1.461,302
AVAXUSDT+XRPUSDT+DOGEUSDT,106.67,10.95,1.563,334,58.43,13.01,1.435,314
AVAXUSDT+XRPUSDT+BTCUSDT,67.98,10.81,1.377,319,36.82,23.05,1.291,313
AVAXUSDT+XRPUSDT+BCHUSDT,100.37,13.37,1.631,312,77.41,8.53,1.602,320
AVAXUSDT+XRPUSDT+ADAUSDT,91.17,15.19,1.518,331,79.68,14.8,1.502,340
AVAXUSDT+XRPUSDT+1000PEPEUSDT,89.17,11.65,1.509,328,71.6,18.7,1.506,319
AVAXUSDT+XRPUSDT+WLDUSDT,105.52,13.89,1.59,336,49.01,17.44,1.356,322
AVAXUSDT+XRPUSDT+TONUSDT,118.97,11.3,1.664,329,63.51,10.41,1.476,302
AVAXUSDT+XLMUSDT+HBARUSDT,86.29,13.47,1.47,335,77.22,15.72,1.464,391
AVAXUSDT+XLMUSDT+ETHUSDT,136.92,13.87,1.764,329,69.24,14.07,1.497,342
AVAXUSDT+XLMUSDT+DOGEUSDT,122.39,12.15,1.609,348,68.71,10.77,1.47,354
AVAXUSDT+XLMUSDT+BTCUSDT,80.26,10.41,1.423,333,45.86,19.29,1.336,353
AVAXUSDT+XLMUSDT+BCHUSDT,115.46,10.58,1.688,326,88.81,11.33,1.633,360
AVAXUSDT+XLMUSDT+ADAUSDT,105.18,12.98,1.567,345,91.46,10.53,1.536,380
AVAXUSDT+XLMUSDT+1000PEPEUSDT,103.44,12.0,1.558,342,82.81,14.54,1.54,359
AVAXUSDT+XLMUSDT+WLDUSDT,120.59,11.9,1.642,350,58.48,14.89,1.393,362
AVAXUSDT+XLMUSDT+TONUSDT,135.58,9.01,1.718,343,74.23,10.36,1.512,342
AVAXUSDT+HBARUSDT+ETHUSDT,86.16,11.37,1.54,311,77.76,16.74,1.491,351
AVAXUSDT+HBARUSDT+DOGEUSDT,74.86,13.58,1.417,330,77.08,12.38,1.468,363
AVAXUSDT+HBARUSDT+BTCUSDT,41.79,14.32,1.243,315,53.16,22.63,1.344,362
AVAXUSDT+HBARUSDT+BCHUSDT,69.32,11.0,1.458,308,98.56,8.79,1.621,369
AVAXUSDT+HBARUSDT+ADAUSDT,61.55,13.32,1.368,327,100.71,16.79,1.518,389
AVAXUSDT+HBARUSDT+1000PEPEUSDT,60.22,15.21,1.359,324,91.98,15.28,1.526,368
AVAXUSDT+HBARUSDT+WLDUSDT,73.22,14.62,1.429,332,66.27,13.47,1.393,371
AVAXUSDT+HBARUSDT+TONUSDT,85.01,14.08,1.501,325,82.75,14.7,1.5,351
AVAXUSDT+ETHUSDT+DOGEUSDT,122.22,10.87,1.698,324,69.12,14.33,1.506,314
AVAXUSDT+ETHUSDT+BTCUSDT,79.85,11.2,1.48,309,46.37,19.97,1.359,313
AVAXUSDT+ETHUSDT+BCHUSDT,115.35,12.82,1.789,302,89.67,9.2,1.683,320
AVAXUSDT+ETHUSDT+ADAUSDT,105.22,14.94,1.647,321,92.09,11.52,1.568,340
AVAXUSDT+ETHUSDT+1000PEPEUSDT,103.28,11.0,1.639,318,83.45,17.79,1.578,319
AVAXUSDT+ETHUSDT+WLDUSDT,120.4,13.74,1.734,326,58.93,18.64,1.419,322
AVAXUSDT+ETHUSDT+TONUSDT,135.63,13.03,1.821,319,74.55,10.6,1.546,302
AVAXUSDT+DOGEUSDT+BTCUSDT,69.24,10.81,1.371,328,45.7,18.52,1.341,325
AVAXUSDT+DOGEUSDT+BCHUSDT,102.37,11.62,1.622,321,89.01,10.73,1.646,332
AVAXUSDT+DOGEUSDT+ADAUSDT,92.7,11.75,1.509,340,91.27,12.28,1.541,352
AVAXUSDT+DOGEUSDT+1000PEPEUSDT,90.43,12.43,1.498,337,82.73,15.46,1.549,331
AVAXUSDT+DOGEUSDT+WLDUSDT,107.01,10.19,1.581,345,58.36,16.88,1.398,334
AVAXUSDT+DOGEUSDT+TONUSDT,121.24,10.64,1.656,338,73.99,12.08,1.519,314
AVAXUSDT+BTCUSDT+BCHUSDT,64.66,10.61,1.407,306,63.3,14.71,1.49,331
AVAXUSDT+BTCUSDT+ADAUSDT,56.7,12.23,1.326,325,65.61,18.51,1.414,351
AVAXUSDT+BTCUSDT+1000PEPEUSDT,55.71,10.67,1.317,322,57.93,26.94,1.408,330
AVAXUSDT+BTCUSDT+WLDUSDT,68.89,11.59,1.386,330,36.97,25.18,1.271,333
AVAXUSDT+BTCUSDT+TONUSDT,80.14,10.85,1.452,323,50.44,16.7,1.377,313
AVAXUSDT+BCHUSDT+ADAUSDT,87.07,15.05,1.568,318,114.08,12.01,1.705,358
AVAXUSDT+BCHUSDT+1000PEPEUSDT,85.82,11.53,1.559,315,104.51,12.62,1.723,337
AVAXUSDT+BCHUSDT+WLDUSDT,101.52,13.81,1.647,323,77.52,11.15,1.55,340
AVAXUSDT+BCHUSDT+TONUSDT,114.99,11.82,1.734,316,94.95,10.96,1.696,320
AVAXUSDT+ADAUSDT+1000PEPEUSDT,76.76,13.32,1.454,334,107.27,12.93,1.599,357
AVAXUSDT+ADAUSDT+WLDUSDT,91.96,13.08,1.533,342,80.05,13.17,1.461,360
AVAXUSDT+ADAUSDT+TONUSDT,104.72,13.06,1.607,335,97.57,14.21,1.576,340
AVAXUSDT+1000PEPEUSDT+WLDUSDT,90.34,12.3,1.523,339,71.44,20.67,1.462,339
AVAXUSDT+1000PEPEUSDT+TONUSDT,103.58,9.33,1.601,332,88.33,11.85,1.585,319
AVAXUSDT+WLDUSDT+TONUSDT,120.66,17.46,1.683,340,63.24,13.61,1.431,322
ARBUSDT+XRPUSDT+XLMUSDT,176.98,9.56,1.839,345,60.32,13.19,1.434,325
ARBUSDT+XRPUSDT+HBARUSDT,117.48,12.36,1.632,327,68.68,16.08,1.436,334
ARBUSDT+XRPUSDT+ETHUSDT,177.23,11.5,1.955,321,60.6,14.82,1.471,285
ARBUSDT+XRPUSDT+DOGEUSDT,160.1,11.7,1.779,340,60.25,12.67,1.444,297
ARBUSDT+XRPUSDT+BTCUSDT,111.09,9.39,1.571,325,38.21,22.17,1.3,296
ARBUSDT+XRPUSDT+BCHUSDT,151.85,11.15,1.881,318,79.24,12.91,1.614,303
ARBUSDT+XRPUSDT+ADAUSDT,140.72,10.97,1.738,337,81.65,15.19,1.509,323
ARBUSDT+XRPUSDT+1000PEPEUSDT,137.86,9.43,1.729,334,73.42,18.92,1.516,302
ARBUSDT+XRPUSDT+WLDUSDT,158.4,9.8,1.822,342,50.56,19.81,1.363,305
ARBUSDT+XRPUSDT+TONUSDT,175.26,8.39,1.898,335,65.13,12.22,1.485,285
ARBUSDT+XLMUSDT+HBARUSDT,134.3,11.96,1.682,341,80.07,11.93,1.471,374
ARBUSDT+XLMUSDT+ETHUSDT,198.19,10.72,2.011,335,71.52,12.77,1.507,325
ARBUSDT+XLMUSDT+DOGEUSDT,179.97,10.84,1.826,354,71.3,12.96,1.479,337
ARBUSDT+XLMUSDT+BTCUSDT,126.63,9.46,1.619,339,47.83,15.22,1.345,336
ARBUSDT+XLMUSDT+BCHUSDT,170.96,9.18,1.941,332,91.33,14.43,1.643,343
ARBUSDT+XLMUSDT+ADAUSDT,158.45,10.46,1.79,351,94.3,15.38,1.542,363
ARBUSDT+XLMUSDT+1000PEPEUSDT,155.92,9.08,1.778,348,85.3,14.84,1.548,342
ARBUSDT+XLMUSDT+WLDUSDT,177.51,10.21,1.876,356,60.73,15.65,1.4,345
ARBUSDT+XLMUSDT+TONUSDT,196.29,7.82,1.955,349,76.64,11.88,1.52,325
ARBUSDT+HBARUSDT+ETHUSDT,134.03,10.19,1.781,317,80.22,12.39,1.499,334
ARBUSDT+HBARUSDT+DOGEUSDT,119.86,11.22,1.624,336,79.86,12.89,1.476,346
ARBUSDT+HBARUSDT+BTCUSDT,77.88,11.03,1.426,321,55.39,25.61,1.352,345
ARBUSDT+HBARUSDT+BCHUSDT,112.47,10.9,1.699,314,101.26,10.02,1.631,352
ARBUSDT+HBARUSDT+ADAUSDT,103.15,8.95,1.579,333,103.75,19.01,1.523,372
ARBUSDT+HBARUSDT+1000PEPEUSDT,101.12,11.91,1.567,330,94.54,15.06,1.534,351
ARBUSDT+HBARUSDT+WLDUSDT,117.45,10.18,1.649,338,68.69,17.86,1.4,354
ARBUSDT+HBARUSDT+TONUSDT,132.19,9.02,1.729,331,85.34,15.67,1.507,334
ARBUSDT+ETHUSDT+DOGEUSDT,179.76,11.04,1.941,330,71.34,14.01,1.517,297
ARBUSDT+ETHUSDT+BTCUSDT,126.12,13.38,1.699,315,47.9,19.59,1.37,296
ARBUSDT+ETHUSDT+BCHUSDT,170.83,9.36,2.073,308,92.03,11.33,1.698,303
ARBUSDT+ETHUSDT+ADAUSDT,158.51,10.31,1.896,327,94.39,12.31,1.575,323
ARBUSDT+ETHUSDT+1000PEPEUSDT,155.74,9.35,1.888,324,85.78,17.36,1.59,302
ARBUSDT+ETHUSDT+WLDUSDT,177.26,11.79,1.997,332,60.83,18.52,1.428,305
ARBUSDT+ETHUSDT+TONUSDT,196.36,7.23,2.087,325,76.59,10.45,1.557,285
ARBUSDT+DOGEUSDT+BTCUSDT,112.81,14.64,1.561,334,47.5,17.74,1.351,308
ARBUSDT+DOGEUSDT+BCHUSDT,154.52,8.85,1.87,327,91.7,11.27,1.659,315
ARBUSDT+DOGEUSDT+ADAUSDT,142.79,10.61,1.727,346,93.9,13.03,1.548,335
ARBUSDT+DOGEUSDT+1000PEPEUSDT,139.58,11.71,1.714,343,85.38,14.58,1.56,314
ARBUSDT+DOGEUSDT+WLDUSDT,160.44,12.39,1.811,351,60.55,16.09,1.407,317
ARBUSDT+DOGEUSDT+TONUSDT,178.27,8.74,1.889,344,76.34,14.41,1.529,297
ARBUSDT+BTCUSDT+BCHUSDT,106.6,10.09,1.627,312,65.08,17.13,1.502,314
ARBUSDT+BTCUSDT+ADAUSDT,97.07,11.08,1.521,331,67.53,20.6,1.421,334
ARBUSDT+BTCUSDT+1000PEPEUSDT,95.44,11.18,1.507,328,59.69,25.6,1.418,313
ARBUSDT+BTCUSDT+WLDUSDT,111.98,9.24,1.588,336,38.54,28.63,1.28,316
ARBUSDT+BTCUSDT+TONUSDT,126.04,8.74,1.661,329,52.06,17.67,1.386,296
ARBUSDT+BCHUSDT+ADAUSDT,135.34,11.6,1.82,324,116.84,15.21,1.713,341
ARBUSDT+BCHUSDT+1000PEPEUSDT,133.26,10.27,1.81,321,107.47,16.38,1.737,320
ARBUSDT+BCHUSDT+WLDUSDT,153.06,10.98,1.912,329,80.06,13.21,1.559,323
ARBUSDT+BCHUSDT+TONUSDT,169.9,8.26,2.005,322,97.44,12.44,1.708,303
ARBUSDT+ADAUSDT+1000PEPEUSDT,122.45,9.1,1.675,340,110.03,14.76,1.606,340
ARBUSDT+ADAUSDT+WLDUSDT,141.57,8.62,1.766,348,82.33,17.25,1.466,343
ARBUSDT+ADAUSDT+TONUSDT,157.56,8.54,1.845,341,99.99,14.98,1.581,323
ARBUSDT+1000PEPEUSDT+WLDUSDT,139.05,11.48,1.753,345,73.9,20.66,1.469,322
ARBUSDT+1000PEPEUSDT+TONUSDT,155.68,8.59,1.838,338,90.79,14.94,1.595,302
ARBUSDT+WLDUSDT+TONUSDT,177.17,7.73,1.933,346,65.25,15.83,1.438,305
XRPUSDT+XLMUSDT+HBARUSDT,122.43,12.14,1.592,340,56.74,12.61,1.38,356
XRPUSDT+XLMUSDT+ETHUSDT,183.67,13.08,1.891,334,49.36,16.23,1.4,307
XRPUSDT+XLMUSDT+DOGEUSDT,166.21,9.97,1.726,353,49.02,10.87,1.375,319
XRPUSDT+XLMUSDT+BTCUSDT,115.52,9.76,1.539,338,28.57,16.98,1.234,318
XRPUSDT+XLMUSDT+BCHUSDT,157.17,10.89,1.824,331,66.56,12.49,1.534,325
XRPUSDT+XLMUSDT+ADAUSDT,145.54,12.67,1.689,350,69.04,14.92,1.454,345
XRPUSDT+XLMUSDT+1000PEPEUSDT,143.19,10.15,1.683,347,61.43,16.26,1.451,324
XRPUSDT+XLMUSDT+WLDUSDT,164.08,13.77,1.77,355,40.23,17.28,1.302,327
XRPUSDT+XLMUSDT+TONUSDT,180.9,9.42,1.839,348,53.93,10.33,1.42,307
XRPUSDT+HBARUSDT+ETHUSDT,122.97,15.11,1.679,316,57.07,15.68,1.408,316
XRPUSDT+HBARUSDT+DOGEUSDT,109.39,12.6,1.54,335,56.6,13.16,1.386,328
XRPUSDT+HBARUSDT+BTCUSDT,69.6,14.02,1.362,320,35.25,22.68,1.256,327
XRPUSDT+HBARUSDT+BCHUSDT,102.17,12.53,1.602,313,75.35,10.28,1.537,334
XRPUSDT+HBARUSDT+ADAUSDT,93.41,15.06,1.496,332,77.39,18.74,1.448,354
XRPUSDT+HBARUSDT+1000PEPEUSDT,91.61,14.8,1.488,329,69.7,17.79,1.451,333
XRPUSDT+HBARUSDT+WLDUSDT,107.46,15.29,1.561,337,47.32,15.25,1.315,336
