label,pairs,risk_pct,conc,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf
perpair,DOGE+ETH+TON,0.45,2,107.2,5.02,1.98,4.22,338,49.4,6.3,1.57
rr28,APT+BCH+ENS,0.45,3,107.1,6.05,2.02,4.71,359,60.1,6.95,1.70
perpair,BCH+ETH+VET,0.45,3,107.1,5.69,1.96,4.44,373,62.5,6.85,1.67
thr06,1000PEPE+BCH+TON,0.5,3,106.9,7.99,1.82,4.05,376,73.4,7.13,1.66
thr06,DOGE+ETH+TON,0.5,2,106.9,7.82,1.83,4.04,359,54.2,7.39,1.53
default,ETH+LTC+TON,0.45,3,106.9,7.19,2.04,4.64,340,37.9,7.14,1.47
perpair,BNB+TON+XRP,0.45,2,106.9,5.68,2.00,4.31,313,36.1,6.11,1.50
perpair,BCH+DOGE+ETH,0.45,2,106.9,6.29,1.98,4.24,351,52.0,6.59,1.56
thr06,APT+BCH+TON,0.5,2,106.9,7.37,1.84,4.24,363,85.6,7.67,1.77
rr28,ETH+LTC+VET,0.5,3,106.8,7.12,1.89,4.38,370,41.9,7.87,1.45
rr28,DOGE+SNX+TON,0.5,2,106.7,7.99,1.96,4.47,333,62.1,7.67,1.61
default,ETH+SNX+TON,0.45,3,106.7,7.23,2.11,4.53,324,50.4,6.17,1.56
perpair,APT+TON+XRP,0.45,3,106.7,5.96,1.97,4.56,342,51.5,7.63,1.61
perpair,BCH+BNB+ETH,0.45,2,106.7,7.32,2.04,4.45,323,54.4,7.82,1.66
default,ADA+APT+LTC,0.55,3,106.5,7.4,1.74,3.66,359,87.1,7.83,1.62
rr28,APT+BNB+DOGE,0.5,3,106.2,6.4,1.81,3.99,364,53.8,7.01,1.58
default,ETH+SNX+TON,0.45,2,106.2,7.23,2.18,4.62,311,49.9,7.87,1.56
default,APT+ENS+TON,0.45,2,106.1,5.55,1.93,4.5,354,65.1,6.55,1.75
perpair,APT+BCH+WLD,0.5,2,105.9,7.75,1.91,4.32,361,73.5,7.14,1.67
default,DOGE+ETH+TON,0.5,2,105.9,5.13,2.02,4.25,310,46.1,7.27,1.58
rr28,BCH+DOGE+TON,0.5,2,105.8,6.44,2.00,4.51,325,56.9,6.69,1.71
perpair,DOGE+ETH+HBAR,0.5,3,105.7,7.0,1.75,3.81,365,58.8,6.93,1.49
perpair,BCH+DOGE+VET,0.55,2,105.7,7.52,1.79,3.68,375,64.0,7.96,1.55
rr28,APT+ENS+WLD,0.45,2,105.7,7.5,1.99,4.49,366,38.3,7.88,1.46
perpair,1000PEPE+BCH+TON,0.5,2,105.6,5.68,1.94,4.21,343,66.5,6.65,1.66
rr40_sb20,BNB+ETH+TON,0.45,2,105.5,7.05,1.91,4.01,325,40.8,7.84,1.51
default,APT+DOGE+XRP,0.55,2,105.5,7.91,1.75,3.89,333,61.8,7.22,1.63
rr28,APT+DOGE+XRP,0.55,2,105.5,7.46,1.79,3.96,336,60.9,7.06,1.63
rr28,BNB+SNX+TON,0.5,3,105.3,6.98,1.86,4.25,353,53.9,7.78,1.54
perpair,APT+BCH+TON,0.45,3,105.3,5.25,2.05,4.65,345,64.3,5.77,1.72
rr40_sb20,APT+ETH+TON,0.45,2,104.5,7.96,2.01,4.19,316,65.5,7.26,1.73
rr28,BCH+LTC+WLD,0.5,3,104.5,7.47,1.91,4.46,350,46.0,7.37,1.49
perpair,ADA+APT+BNB,0.55,2,104.5,5.7,1.82,3.78,320,70.6,7.97,1.65
perpair,ETH+LTC+TON,0.45,3,104.5,5.49,2.02,4.49,324,47.9,6.31,1.56
perpair,BNB+ETH+SNX,0.45,2,104.5,6.65,1.94,4.21,327,56.8,7.1,1.58
rr28,1000PEPE+APT+TON,0.55,2,104.4,7.51,1.86,4.16,328,73.9,6.81,1.71
thr06,BCH+DOGE+ETH,0.45,3,104.3,6.58,1.90,4.06,373,56.2,7.6,1.58
rr28,ADA+ETH+LTC,0.5,3,104.2,6.31,1.91,4.27,347,50.0,6.51,1.50
perpair,DOGE+TON+XRP,0.45,3,104.2,6.67,1.85,4.04,362,41.0,7.12,1.47
